index,input,expect_tools_result,expect_tools_calls,eval_set_id,trace_id
1,2023 年 4 月，国内某互联网安全龙头企业（主打 安全卫士、 杀毒 等C 端产品，曾参与国家网络安全应急响应）创始人离婚，分割近 90 亿元股权，查询公告后 3 个交易日的日线数据（不复权）、股票所属行业板块同期涨跌幅,"1. vesearch：2023 年 4 月 3 日，三六零（601360）披露《关于股东权益变动的提示性公告》，创始人离婚，分割 8.97 亿股（市值近 90 亿元），公司为国内互联网安全龙头，核心产品含 360 安全卫士
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 4, 4), '股票代码': '601360', '开盘': 19.71, '收盘': 20.08, '最高': 20.85, '最低': 19.45, '成交量': 5510166, '成交额': 11009556568.0, '振幅': 7.29, '涨跌幅': 4.58, '涨跌额': 0.88, '换手率': 7.71}, {'日期': datetime.date(2023, 4, 6), '股票代码': '601360', '开盘': 19.2, '收盘': 18.97, '最高': 19.74, '最低': 18.5, '成交量': 5781486, '成交额': 11001172690.0, '振幅': 6.18, '涨跌幅': -5.53, '涨跌额': -1.11, '换手率': 8.09}, {'日期': datetime.date(2023, 4, 7), '股票代码': '601360', '开盘': 19.1, '收盘': 18.6, '最高': 19.68, '最低': 18.23, '成交量': 4919898, '成交额': 9366797606.0, '振幅': 7.64, '涨跌幅': -1.95, '涨跌额': -0.37, '换手率': 6.89}]
3. stock_individual_info_em：[{'item': '最新', 'value': 11.2}, {'item': '股票代码', 'value': '601360'}, {'item': '股票简称', 'value': '三六零'}, {'item': '总股本', 'value': 6999557879.0}, {'item': '流通股', 'value': 6999557879.0}, {'item': '总市值', 'value': 78395048244.79999}, {'item': '流通市值', 'value': 78395048244.79999}, {'item': '行业', 'value': '软件开发'}, {'item': '上市时间', 'value': 20120116}]
4. stock_board_industry_hist_em：[{'日期': '2023-04-04', '开盘': 959.09, '收盘': 960.94, '最高': 971.61, '最低': 945.62, '涨跌幅': 0.3, '涨跌额': 2.9, '成交量': 54008710, '成交额': 123167481875.0, '振幅': 2.71, '换手率': 5.84}, {'日期': '2023-04-06', '开盘': 946.1, '收盘': 947.17, '最高': 957.44, '最低': 939.8, '涨跌幅': -1.43, '涨跌额': -13.77, '成交量': 45832701, '成交额': 104082704481.0, '振幅': 1.84, '换手率': 4.95}, {'日期': '2023-04-07', '开盘': 948.86, '收盘': 965.22, '最高': 965.22, '最低': 934.99, '涨跌幅': 1.91, '涨跌额': 18.05, '成交量': 41511790, '成交额': 89503623106.0, '振幅': 3.19, '换手率': 4.49}]","1. vesearch：2023 年 4 月，国内互联网安全龙头（核心产品安全卫士，参与国家网络安全应急响应）创始人离婚分割近 90 亿元股权，查公司名称、股票代码、事件日期
2. stock_zh_a_hist：symbol=""601360""，period=""daily""，start_date=""20230404""，end_date=""20230407""，adjust=""""
3. stock_individual_info_em：symbol=""601360""（提取 “行业”）
4. stock_board_industry_hist_em：symbol=""软件开发""，start_date=""20230404""，end_date=""20230407""，period=""daily""，adjust=""""
",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_1_425992b64225f91fb71ae9d611817b98.json
2,2020 年 5 月，国内某创业板医药公司（核心产品为乙肝疫苗、HPV 疫苗，2022 年营收超 30 亿元，获国家药监局 GMP 认证）董事长离婚，235.54 亿元股权分割创 A 股纪录，查询该事件公告后 当日的日线数据（前复权）、公司当日有无公告发布,"1. vesearch：2020 年 5 月 29 日，康泰生物（300601）披露《关于股东权益变动的公告》，董事长离婚，分割 2.63 亿股（市值 235.54 亿元），公司核心产品为乙肝疫苗、HPV 疫苗，2022 年营收 32.7 亿元
2. stock_zh_a_hist：[{'日期': datetime.date(2020, 5, 29), '股票代码': '300601', '开盘': 87.69, '收盘': 89.87, '最高': 90.69, '最低': 87.17, '成交量': 54131, '成交额': 788436768.0, '振幅': 4.04, '涨跌幅': 3.11, '涨跌额': 2.71, '换手率': 1.49}]
3.stock_gsrl_gsdt_em： {'序号': 108, '代码': '300601', '简称': '康泰生物', '事件类型': '资产重组', '具体事项': '因解除婚姻关系并进行财产分割,杜伟民先生拟将其直接持有的161,331,675股公司股份(占公司总股本23.99%)分割过户至YUANLIPING(袁莉萍)女士名下。本次股份分割过户后,杜伟民先生直接持有公司股份183,394,125股,占公司股份总数的27.27%,其中处于质押状态的股份为23,484,740股,占其持有公司股份总数的12.81%;YUANLIPING(袁莉萍)女士直接持有公司股份161,331,675股,占公司股份总数的23.99%。本次权益变动未导致公司控股股东、实际控制人发生变化,不涉及公司控制权变更。本次权益变动完成后,YUANLIPING(袁莉萍)女士将就其本次取得的康泰生物股份继续履行杜伟民先生在公司首次公开发行时作出的相关承诺。', '交易日': datetime.date(2020, 5, 29)}","1. vesearch：2020 年 5 月，创业板医药公司（核心产品乙肝疫苗 + HPV 疫苗，2022 年营收超 30 亿，获 GMP 认证）董事长离婚分割 235.54 亿元股权，查公司名称、股票代码、公告日期
2. stock_zh_a_hist：symbol=""300601""，period=""daily""，start_date=""20200529""，end_date=""20200529""，adjust=""qfq""
3. stock_gsrl_gsdt_em：date=""20200529""",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_2_526b648ddbd4f21016c762dce38849c5.json
3,2023 年 8 月，证监会出台减半征收印花税等四项活跃市场政策，查询政策发布次日深圳市场 各证券类别（股票、基金、债券等）统计数据、券商板块当日涨跌幅，及国内某大型国有银行（全球系统重要性银行，2022 年资产规模超 39 万亿元）当日日线数据（不复权）,"1. vesearch：2023 年 8 月 27 日，证监会公告《关于活跃资本市场的若干措施》（含印花税减半）；国内大型国有银行（全球系统重要性银行，2022 年资产 33.6 万亿元）为工商银行（601398）
2. stock_szse_summary：[{'证券类别': '股票', '数量': 2853, '成交金额': 610458751856.54, '总市值': 31737432401645.67, '流通市值': 26100014775659.16}, {'证券类别': '主板A股', '数量': 1500, '成交金额': 326632204748.76, '总市值': 20330011597980.42, '流通市值': 17989515579962.06}, {'证券类别': '主板B股', '数量': 41, '成交金额': 89748755.12, '总市值': 51199048002.78, '流通市值': 50944649047.12}, {'证券类别': '创业板A股', '数量': 1312, '成交金额': 283736798352.66, '总市值': 11356221755662.47, '流通市值': 8059554546649.98}, {'证券类别': '基金', '数量': 626, '成交金额': 37514471446.99, '总市值': 537454534981.47, '流通市值': 526432512898.84}, {'证券类别': 'ETF', '数量': 321, '成交金额': 36961833963.9, '总市值': 479357438897.8, '流通市值': 479357438897.8}, {'证券类别': 'LOF', '数量': 295, '成交金额': 472837487.85, '总市值': 33490310548.22, '流通市值': 33490310548.22}, {'证券类别': '封闭式基金', '数量': 1, '成交金额': 655849.65, '总市值': 1617549402.42, '流通市值': 1617549402.42}, {'证券类别': '基础设施基金', '数量': 9, '成交金额': 79144145.58, '总市值': 22989236133.02, '流通市值': 11967214050.4}, {'证券类别': '债券', '数量': 12737, '成交金额': 284365354111.71, '总市值': nan, '流通市值': nan}, {'证券类别': '债券现券', '数量': 12114, '成交金额': 51563286673.21, '总市值': 64055719502419.82, '流通市值': 2621212249229.07}, {'证券类别': '债券回购', '数量': 13, '成交金额': 232411968580.0, '总市值': nan, '流通市值': nan}, {'证券类别': 'ABS', '数量': 610, '成交金额': 390098858.5, '总市值': 432350942452.1, '流通市值': 432350942452.1}, {'证券类别': '期权', '数量': 416, '成交金额': 1278126259.0, '总市值': nan, '流通市值': nan}]
3. stock_board_industry_hist_em：[{'日期': '2023-08-28', '开盘': 143533.97, '收盘': 134145.97, '最高': 143533.97, '最低': 133870.23, '涨跌幅': 2.77, '涨跌额': 3611.47, '成交量': 112283030, '成交额': 105854546220.0, '振幅': 7.4, '换手率': 4.46}]
4. stock_zh_a_hist：[{'日期': datetime.date(2023, 8, 28), '股票代码': '601398', '开盘': 4.8, '收盘': 4.73, '最高': 4.8, '最低': 4.68, '成交量': 4335474, '成交额': 2047848273.0, '振幅': 2.58, '涨跌幅': 1.5, '涨跌额': 0.07, '换手率': 0.16}]","1. vesearch：2023 年 8 月，证监会出台减半征收印花税政策，查政策发布日期；同时查国内大型国有银行（全球系统重要性银行，2022 年资产超 39 万亿）股票代码
2. stock_szse_summary：date=""20230828""
3. stock_board_industry_hist_em：symbol=""证券"", start_date=""20230828"", end_date=""20230828"", period=""日k"", adjust=""""
4. stock_zh_a_hist：symbol=""601398"", period=""daily"", start_date=""20230828"", end_date=""20230828"", adjust=""""",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_3_ec31ff1ea31f2a2e990566074fef84cc.json
4,2023 年 7 月，科创板首批强制退市企业（含某光存储公司，曾因虚增营收 25 亿元被立案调查，核心产品为蓝光存储设备）名单公布，查询该公司退市前 30 个交易日的日线数据（不复权），及当日是否有公告投资者索赔金额,"1. vesearch：2023 年 7 月 7 日，退市紫晶（688086）成为科创板首批强制退市企业，退市原因系虚增营收 25.6 亿元，公司为光存储领域企业，核心产品为蓝光存储设备
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 6, 8), '股票代码': '688086', '开盘': 0.99, '收盘': 0.89, '最高': 0.99, '最低': 0.73, '成交量': 327910, '成交额': 29261004.0, '振幅': 10.74, '涨跌幅': -63.22, '涨跌额': -1.53, '换手率': 24.66}, {'日期': datetime.date(2023, 6, 9), '股票代码': '688086', '开盘': 0.88, '收盘': 0.77, '最高': 0.89, '最低': 0.77, '成交量': 173108, '成交额': 14207411.0, '振幅': 13.48, '涨跌幅': -13.48, '涨跌额': -0.12, '换手率': 13.02}, {'日期': datetime.date(2023, 6, 12), '股票代码': '688086', '开盘': 0.76, '收盘': 0.72, '最高': 0.77, '最低': 0.68, '成交量': 106047, '成交额': 7680365.0, '振幅': 11.69, '涨跌幅': -6.49, '涨跌额': -0.05, '换手率': 7.98}, {'日期': datetime.date(2023, 6, 13), '股票代码': '688086', '开盘': 0.72, '收盘': 0.73, '最高': 0.76, '最低': 0.72, '成交量': 62870, '成交额': 4662747.0, '振幅': 5.56, '涨跌幅': 1.39, '涨跌额': 0.01, '换手率': 4.73}, {'日期': datetime.date(2023, 6, 14), '股票代码': '688086', '开盘': 0.72, '收盘': 0.7, '最高': 0.75, '最低': 0.69, '成交量': 55589, '成交额': 3990345.0, '振幅': 8.22, '涨跌幅': -4.11, '涨跌额': -0.03, '换手率': 4.18}, {'日期': datetime.date(2023, 6, 15), '股票代码': '688086', '开盘': 0.69, '收盘': 0.67, '最高': 0.71, '最低': 0.66, '成交量': 88576, '成交额': 6022824.0, '振幅': 7.14, '涨跌幅': -4.29, '涨跌额': -0.03, '换手率': 6.66}, {'日期': datetime.date(2023, 6, 16), '股票代码': '688086', '开盘': 0.67, '收盘': 0.7, '最高': 0.71, '最低': 0.66, '成交量': 70206, '成交额': 4870271.0, '振幅': 7.46, '涨跌幅': 4.48, '涨跌额': 0.03, '换手率': 5.28}, {'日期': datetime.date(2023, 6, 19), '股票代码': '688086', '开盘': 0.71, '收盘': 0.67, '最高': 0.71, '最低': 0.67, '成交量': 54510, '成交额': 3717739.0, '振幅': 5.71, '涨跌幅': -4.29, '涨跌额': -0.03, '换手率': 4.1}, {'日期': datetime.date(2023, 6, 20), '股票代码': '688086', '开盘': 0.68, '收盘': 0.65, '最高': 0.68, '最低': 0.64, '成交量': 55758, '成交额': 3640128.0, '振幅': 5.97, '涨跌幅': -2.99, '涨跌额': -0.02, '换手率': 4.19}, {'日期': datetime.date(2023, 6, 21), '股票代码': '688086', '开盘': 0.65, '收盘': 0.65, '最高': 0.68, '最低': 0.64, '成交量': 51522, '成交额': 3377913.0, '振幅': 6.15, '涨跌幅': 0.0, '涨跌额': 0.0, '换手率': 3.87}, {'日期': datetime.date(2023, 6, 26), '股票代码': '688086', '开盘': 0.65, '收盘': 0.64, '最高': 0.66, '最低': 0.62, '成交量': 47019, '成交额': 3009526.0, '振幅': 6.15, '涨跌幅': -1.54, '涨跌额': -0.01, '换手率': 3.54}, {'日期': datetime.date(2023, 6, 27), '股票代码': '688086', '开盘': 0.64, '收盘': 0.68, '最高': 0.68, '最低': 0.63, '成交量': 61576, '成交额': 4072659.0, '振幅': 7.81, '涨跌幅': 6.25, '涨跌额': 0.04, '换手率': 4.63}, {'日期': datetime.date(2023, 6, 28), '股票代码': '688086', '开盘': 0.69, '收盘': 0.69, '最高': 0.7, '最低': 0.66, '成交量': 63986, '成交额': 4371526.0, '振幅': 5.88, '涨跌幅': 1.47, '涨跌额': 0.01, '换手率': 4.81}, {'日期': datetime.date(2023, 6, 29), '股票代码': '688086', '开盘': 0.69, '收盘': 0.66, '最高': 0.69, '最低': 0.65, '成交量': 63768, '成交额': 4286230.0, '振幅': 5.8, '涨跌幅': -4.35, '涨跌额': -0.03, '换手率': 4.8}, {'日期': datetime.date(2023, 6, 30), '股票代码': '688086', '开盘': 0.66, '收盘': 0.64, '最高': 0.67, '最低': 0.63, '成交量': 114446, '成交额': 7398969.0, '振幅': 6.06, '涨跌幅': -3.03, '涨跌额': -0.02, '换手率': 8.61}]
3. stock_gsrl_gsdt_em：当日无公告","1. vesearch：2023 年 7 月，科创板首批强制退市企业（含光存储公司，虚增营收 25 亿元，核心产品蓝光存储设备），查公司名称、代码、退市原因
2. stock_zh_a_hist：symbol=""688086""，period=""daily""，start_date=""20230520""，end_date=""20230706""，adjust=""""
3. stock_gsrl_gsdt_em：date=""20230707""（筛选代码 “688086”）",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_4_7632c26c00d05ebd888db77fb4528051.json
5,2023 年 7 月，蚂蚁集团被罚 71.23 亿元并关停相互宝，查询其关联 A 股公司（某上交所化工企业，核心产品为 PVC、烧碱，曾与蚂蚁集团旗下支付宝合作保险业务）当日平均涨跌幅、该关联公司当日日线数据（不复权），及该公司所属行业板块当日涨跌幅,"1. vesearch：2023 年 7 月 7 日，蚂蚁集团被罚 71.23 亿元，关联 A 股公司君正集团（601216）为上交所化工企业，核心产品 PVC、烧碱，曾与支付宝合作推出 “相互宝” 相关保险业务
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 7, 7), '股票代码': '601216', '开盘': 4.27, '收盘': 4.32, '最高': 4.5, '最低': 4.25, '成交量': 1162221, '成交额': 507472291.0, '振幅': 5.81, '涨跌幅': 0.47, '涨跌额': 0.02, '换手率': 1.38}]
3. stock_individual_info_em：[{'item': '最新', 'value': 5.26}, {'item': '股票代码', 'value': '601216'}, {'item': '股票简称', 'value': '君正集团'}, {'item': '总股本', 'value': 8438017390.0}, {'item': '流通股', 'value': 8438017390.0}, {'item': '总市值', 'value': 44383971471.4}, {'item': '流通市值', 'value': 44383971471.4}, {'item': '行业', 'value': '化学原料'}, {'item': '上市时间', 'value': 20110222}]
4. stock_board_industry_hist_em：[{'日期': '2023-07-07', '开盘': 783.67, '收盘': 783.94, '最高': 787.36, '最低': 779.34, '涨跌幅': -0.12, '涨跌额': -0.98, '成交量': 5891640, '成交额': 5313733109.0, '振幅': 1.02, '换手率': 0.61}]","1. vesearch：2023 年 7 月，蚂蚁集团被罚 71.23 亿元并关停相互宝，查其关联 A 股公司（上交所化工企业，核心产品 PVC + 烧碱，曾合作支付宝保险业务）名称、代码、处罚日期
2. stock_zh_a_hist：symbol=""601216""，period=""daily""，start_date=""20230707""，end_date=""20230707""，adjust=""""
3. stock_individual_info_em：symbol=""601216""
4. stock_board_industry_hist_em：symbol=""化学原料""，start_date=""20230707""，end_date=""20230707""，period=""日k""，adjust=""""",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_5_5e77b1dc73ea331478987c23e5a5f108.json
6,2023 年 10 月，汇金公司增持四大行股票，查询增持当日四大行中谁的涨幅最大，及银行板块当日涨跌幅,"1. vesearch：2023 年 10 月 11 日，汇金公司增持四大行；工商银行 601398，农业银行 601288，中国银行 601988，建设银行 601939
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 10, 11), '股票代码': '601398', '开盘': 4.69, '收盘': 4.72, '最高': 4.73, '最低': 4.69, '成交量': 2692050, '成交额': 1269006831.0, '振幅': 0.85, '涨跌幅': 0.85, '涨跌额': 0.04, '换手率': 0.1}]
[{'日期': datetime.date(2023, 10, 11), '股票代码': '601288', '开盘': 3.62, '收盘': 3.65, '最高': 3.66, '最低': 3.6, '成交量': 3707038, '成交额': 1346890040.0, '振幅': 1.66, '涨跌幅': 1.11, '涨跌额': 0.04, '换手率': 0.12}]
[{'日期': datetime.date(2023, 10, 11), '股票代码': '601988', '开盘': 3.74, '收盘': 3.77, '最高': 3.78, '最低': 3.73, '成交量': 1660060, '成交额': 624459882.0, '振幅': 1.34, '涨跌幅': 0.8, '涨跌额': 0.03, '换手率': 0.08}]
[{'日期': datetime.date(2023, 10, 11), '股票代码': '601939', '开盘': 6.29, '收盘': 6.34, '最高': 6.35, '最低': 6.26, '成交量': 1103981, '成交额': 696821745.0, '振幅': 1.44, '涨跌幅': 1.28, '涨跌额': 0.08, '换手率': 1.15}]
3. stock_board_industry_hist_em：[{'日期': '2023-10-11', '开盘': 2937.15, '收盘': 2919.03, '最高': 2944.16, '最低': 2915.59, '涨跌幅': -0.39, '涨跌额': -11.33, '成交量': 23441094, '成交额': 13224708373.0, '振幅': 0.97, '换手率': 0.18}]","1. vesearch：2023 年 10 月，汇金公司增持四大行股票，查增持日期，四大行股票名称及代码
2. stock_zh_a_hist：
symbol=""601398""，period=""daily""，start_date=""20231011""，end_date=""20231011""，adjust=""""
symbol=""601288""，period=""daily""，start_date=""20231011""，end_date=""20231011""，adjust=""""
symbol=""601988""，period=""daily""，start_date=""20231011""，end_date=""20231011""，adjust=""""
symbol=""601939""，period=""daily""，start_date=""20231011""，end_date=""20231011""，adjust=""""
4. stock_board_industry_hist_em：symbol=""金融""，start_date=""20231011""，end_date=""20231011""，period=""日k""，adjust=""""",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_6_86465283e5e2ab5122d0e6f0acc26f2f.json
7,2023 年 1 月，国内某深交所创业板军工企业（主营军用航空机载设备，曾参与歼 - 20 战斗机配套研发）拟 174 亿元收购成飞集团，且该公司后续发生重大重组，请通过重组后的股票代码查询该事件公告后 11 个交易日的周线数据（后复权）、公司所属行业板块同期涨跌幅,"1. vesearch：2023 年 1 月 11 日，中航电测（300114）重组后为中航成飞（302132）披露收购预案，拟 174 亿元收购成飞集团 100% 股权，公司主营军用航空机载设备，曾参与歼 - 20 战斗机配套研发
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 2, 3), '股票代码': '302132', '开盘': 74.88, '收盘': 89.37, '最高': 89.37, '最低': 74.88, '成交量': 23683, '成交额': 32724331.0, '振幅': 23.08, '涨跌幅': 42.33, '涨跌额': 26.58, '换手率': 0.4}]
3. stock_individual_info_em：[{'item': '最新', 'value': 88.07}, {'item': '股票代码', 'value': '302132'}, {'item': '股票简称', 'value': '中航成飞'}, {'item': '总股本', 'value': 2672091376.0}, {'item': '流通股', 'value': 586069499.0}, {'item': '总市值', 'value': 235331087484.31998}, {'item': '流通市值', 'value': 51615140776.92999}, {'item': '行业', 'value': '航天航空'}, {'item': '上市时间', 'value': 20100827}]
4. stock_board_industry_hist_em：[{'日期': '2023-01-13', '开盘': 38383.52, '收盘': 37374.15, '最高': 38409.08, '最低': 37014.6, '涨跌幅': -2.57, '涨跌额': -985.27, '成交量': 14566582, '成交额': 34732615743.7, '振幅': 3.64, '换手率': 3.97}, {'日期': '2023-01-20', '开盘': 37354.15, '收盘': 39545.93, '最高': 39761.94, '最低': 37351.95, '涨跌幅': 5.81, '涨跌额': 2171.78, '成交量': 15378970, '成交额': 34566356145.02, '振幅': 6.45, '换手率': 4.19}, {'日期': '2023-02-03', '开盘': 40109.4, '收盘': 41956.98, '最高': 42440.11, '最低': 39990.39, '涨跌幅': 6.1, '涨跌额': 2411.05, '成交量': 31505232, '成交额': 59492136095.27, '振幅': 6.19, '换手率': 8.58}]","1. vesearch：2023 年 1 月，深交所创业板军工企业（主营军用航空机载设备，参与歼 - 20 配套研发）拟 174 亿元收购成飞集团，且该公司后续发生重大重组，查公司名称、重组后的代码、公告日期
2. stock_zh_a_hist：symbol=""302132""，period=""weekly""，start_date=""20230112""，end_date=""20230203""，adjust=""hfq""
3. stock_individual_info_em：symbol=""302132""
4. stock_board_industry_hist_em：symbol=""航天航空""，start_date=""20230112""，end_date=""20230203""，period=""周k""，adjust=""""",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_7_b3b12427352999a9430c5ff9552409d5.json
8,2023 年 7 月，国内某上交所光伏企业（全球最大光伏组件制造商，2022 年组件出货量超 80GW，核心品牌为 “隆基”）拟终止 2022 年股权激励计划并注销股票，查询该事件公告当日的日线数据（不复权）、该股票是否属于新能源概念板块,"1. vesearch：2023 年 7 月 18 日，隆基绿能（601012）披露《关于终止股权激励计划的公告》，公司为全球最大光伏组件制造商，2022 年组件出货量 85GW，核心品牌 “隆基”
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 7, 18), '股票代码': '601012', '开盘': 30.0, '收盘': 29.5, '最高': 30.08, '最低': 29.26, '成交量': 882322, '成交额': 2600239433.0, '振幅': 2.75, '涨跌幅': -0.97, '涨跌额': -0.29, '换手率': 1.16}]
3. stock_board_concept_cons_em: 不包含隆基绿能","1. vesearch：2023 年 7 月，上交所光伏企业（全球最大组件制造商，2022 年出货 80GW+，品牌 “隆基”）拟终止 2022 年股权激励计划，查公司名称、代码、公告日期
2. stock_zh_a_hist：symbol=""601012""，period=""daily""，start_date=""20230718""，end_date=""20230718""，adjust=""""
3. stock_board_concept_cons_em: symbol=""新能源""
",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_8_8f7addea90571a22a0b91a035d95ea0f.json
9,2023 年 5 月，国内某深交所创业板教育企业（主营中小学教辅图书，2022 年教辅营收占比超 90%）澄清无 AI 大模型相关业务，查询澄清公告后 3 个交易日的日线数据（前复权）、教育板块同期每日涨跌幅,"1. vesearch：2023 年 5 月 4 日，世纪天鸿（300654）披露《澄清公告》，否认有 AI 大模型业务，公司主营中小学教辅图书，2022 年教辅营收占比 92%，品牌 “世纪天鸿”
2. stock_zh_a_hist：
[{'日期': datetime.date(2023, 5, 5), '股票代码': '300654', '开盘': 16.4, '收盘': 18.87, '最高': 19.94, '最低': 15.92, '成交量': 780163, '成交额': 1418350892.0, '振幅': 23.74, '涨跌幅': 11.46, '涨跌额': 1.94, '换手率': 24.43}, {'日期': datetime.date(2023, 5, 8), '股票代码': '300654', '开盘': 18.2, '收盘': 19.67, '最高': 21.73, '最低': 16.97, '成交量': 598863, '成交额': 1132586540.0, '振幅': 25.23, '涨跌幅': 4.24, '涨跌额': 0.8, '换手率': 18.75}, {'日期': datetime.date(2023, 5, 9), '股票代码': '300654', '开盘': 18.7, '收盘': 18.14, '最高': 19.79, '最低': 17.73, '成交量': 430569, '成交额': 802977284.0, '振幅': 10.47, '涨跌幅': -7.78, '涨跌额': -1.53, '换手率': 13.48}]
3. stock_board_industry_hist_em：
[{'日期': '2023-05-05', '开盘': 658.21, '收盘': 690.93, '最高': 698.27, '最低': 654.69, '涨跌幅': 4.52, '涨跌额': 29.89, '成交量': 10438393, '成交额': 8060529628.0, '振幅': 6.59, '换手率': 8.86}, {'日期': '2023-05-08', '开盘': 712.37, '收盘': 710.1, '最高': 724.22, '最低': 701.65, '涨跌幅': 2.77, '涨跌额': 19.17, '成交量': 10560415, '成交额': 8380308449.0, '振幅': 3.27, '换手率': 8.96}, {'日期': '2023-05-09', '开盘': 707.03, '收盘': 680.52, '最高': 708.82, '最低': 680.01, '涨跌幅': -4.17, '涨跌额': -29.58, '成交量': 9319401, '成交额': 7410102482.0, '振幅': 4.06, '换手率': 7.91}]","1. vesearch：2023 年 5 月，深交所创业板教育企业（主营中小学教辅，2022 年教辅营收占比 90%+）澄清无 AI 大模型业务，查公司名称、代码、公告日期
2. stock_zh_a_hist：symbol=""300654""，period=""daily""，start_date=""20230505""，end_date=""20230509""，adjust=""qfq""
3. stock_board_industry_hist_em：symbol=""教育""，start_date=""20230505""，end_date=""20230509""，period=""daily""，adjust=""""
",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_9_76217534865a0bfbd4b3827edae8fe40.json
10,2023 年 5 月，国内某深交所创业板软件企业（主营创意软件，核心产品为万兴喵影、万兴 PDF，2022 年海外营收占比超 80%）否认参与 ChatGPT 研发，查询否认公告发布之后的3 个交易日累计涨跌幅,"1. vesearch：2023 年 5 月 4 日，万兴科技（300624）披露《澄清公告》，否认参与 ChatGPT 研发，公司主营创意软件，核心产品万兴喵影（视频编辑）、万兴 PDF，2022 年海外营收占比 85%
2. stock_zh_a_hist：[{'日期': datetime.date(2023, 5, 4), '股票代码': '300624', '开盘': 146.0, '收盘': 158.5, '最高': 164.44, '最低': 141.5, '成交量': 169724, '成交额': 2550599454.0, '振幅': 16.34, '涨跌幅': 12.89, '涨跌额': 18.1, '换手率': 14.59}, {'日期': datetime.date(2023, 5, 5), '股票代码': '300624', '开盘': 150.0, '收盘': 144.0, '最高': 154.99, '最低': 142.11, '成交量': 160553, '成交额': 2365336207.0, '振幅': 8.13, '涨跌幅': -9.15, '涨跌额': -14.5, '换手率': 13.81}, {'日期': datetime.date(2023, 5, 8), '股票代码': '300624', '开盘': 145.01, '收盘': 143.5, '最高': 147.8, '最低': 138.0, '成交量': 134933, '成交额': 1931644106.0, '振幅': 6.81, '涨跌幅': -0.35, '涨跌额': -0.5, '换手率': 11.6}, {'日期': datetime.date(2023, 5, 9), '股票代码': '300624', '开盘': 137.48, '收盘': 143.99, '最高': 153.99, '最低': 135.0, '成交量': 161331, '成交额': 2358913655.0, '振幅': 13.23, '涨跌幅': 0.34, '涨跌额': 0.49, '换手率': 13.87}]
（三日累计涨跌幅-9.15%）","1. vesearch：2023 年 5 月，深交所创业板软件企业（主营创意软件，核心产品万兴喵影 + 万兴 PDF，海外营收 80%+）否认参与 ChatGPT 研发，查公司名称、代码、公告日期
2. stock_zh_a_hist：symbol=""300624""，period=""daily""，start_date=""20230504""，end_date=""20230509""，adjust=""""
",financial_deep_research.evalset.json,traces/veadk_opentelemetry_tracer_veadk_default_user_financial_deep_research_10_6f758623d9c0a059313635158037b885.json
